con1,region,tam_loc,tiene_sistema_tren,sexo,edad,escolaridad,ingreso_familiar,condicion_actividad,tiene_auto,modo_principal,tp_eficiente,tp_rapido,tp_barato,tp_seguro,tp_comodo,contamina_su_modo,contamina_aire
207,region_1,2500_14999,no,hombre,25-34,secundaria,no_declaro,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,mucho
208,region_1,2500_14999,no,hombre,45-54,preparatoria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
209,region_4,100mil_mas,no,mujer,35-44,secundaria,2-3sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
210,region_4,100mil_mas,no,hombre,55-64,preparatoria,4-5sm,ocupado,no,colectivo,eficiente,lento,barato,inseguro,incomodo,poco,poco
211,region_4,100mil_mas,no,mujer,18-24,preparatoria,mas_6sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
212,region_1,menos_2500,no,mujer,55-64,secundaria,no_declaro,no_ocupado,no,demanda,eficiente,rapido,caro,inseguro,incomodo,algo,mucho
213,region_3,100mil_mas,no,hombre,18-24,secundaria,mas_6sm,ocupado,no,ninguno,eficiente,lento,caro,seguro,comodo,poco,poco
214,region_3,100mil_mas,no,mujer,18-24,preparatoria,2-3sm,ocupado,no,camion,eficiente,lento,caro,inseguro,comodo,algo,poco
215,region_3,100mil_mas,no,mujer,35-44,secundaria,2-3sm,no_ocupado,no,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
216,region_3,2500_14999,no,hombre,25-34,preparatoria,4-5sm,ocupado,no,particular,eficiente,rapido,barato,seguro,comodo,algo,algo
217,region_3,100mil_mas,no,hombre,55-64,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
218,region_3,15mil_99999,no,hombre,25-34,secundaria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
219,region_3,15mil_99999,no,mujer,25-34,secundaria,3-4sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,comodo,algo,algo
220,region_3,15mil_99999,no,hombre,45-54,primaria,5-6sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,algo
221,region_3,100mil_mas,no,hombre,25-34,secundaria,1-2sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,algo
222,region_3,100mil_mas,no,mujer,25-34,secundaria,5-6sm,ocupado,no,camion,eficiente,lento,caro,seguro,comodo,poco,poco
223,region_3,100mil_mas,no,hombre,55-64,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,seguro,comodo,poco,nada
224,region_3,100mil_mas,no,mujer,25-34,preparatoria,4-5sm,no_ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,poco
225,region_3,100mil_mas,no,hombre,25-34,preparatoria,2-3sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,nada
226,region_1,menos_2500,no,mujer,45-54,secundaria,3-4sm,no_ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,algo,poco
227,region_4,2500_14999,no,mujer,25-34,preparatoria,menos_1sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
228,region_4,2500_14999,no,hombre,18-24,preparatoria,1-2sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
229,region_4,2500_14999,no,hombre,45-54,secundaria,2-3sm,ocupado,no,otros,eficiente,rapido,barato,seguro,comodo,poco,poco
230,region_4,2500_14999,no,mujer,55-64,ninguna,2-3sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,poco,poco
231,region_4,2500_14999,no,hombre,25-34,preparatoria,2-3sm,ocupado,no,otros,eficiente,rapido,barato,inseguro,incomodo,poco,poco
232,region_4,2500_14999,no,hombre,45-54,secundaria,mas_6sm,ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
233,region_3,2500_14999,no,hombre,65+,primaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,mucho,poco
235,region_3,2500_14999,no,mujer,35-44,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,algo,mucho
236,region_3,2500_14999,no,mujer,18-24,preparatoria,2-3sm,no_ocupado,no,camion,eficiente,lento,barato,seguro,incomodo,algo,poco
237,region_4,15mil_99999,no,mujer,35-44,secundaria,5-6sm,ocupado,no,demanda,eficiente,rapido,caro,inseguro,comodo,poco,poco
238,region_3,100mil_mas,si,hombre,45-54,secundaria,mas_6sm,ocupado,no,camion,eficiente,lento,caro,inseguro,comodo,algo,mucho
239,region_1,100mil_mas,no,mujer,35-44,preparatoria,4-5sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
240,region_1,100mil_mas,no,mujer,25-34,secundaria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
241,region_1,100mil_mas,no,hombre,25-34,preparatoria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
242,region_1,100mil_mas,no,hombre,35-44,secundaria,mas_6sm,ocupado,no,camion,eficiente,lento,caro,seguro,comodo,mucho,mucho
243,region_1,100mil_mas,no,hombre,25-34,preparatoria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,algo
244,region_4,menos_2500,no,mujer,25-34,primaria,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,inseguro,comodo,poco,algo
245,region_4,menos_2500,no,hombre,25-34,preparatoria,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
246,region_4,menos_2500,no,hombre,18-24,preparatoria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,mucho,mucho
247,region_4,menos_2500,no,mujer,35-44,secundaria,1-2sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,mucho
248,region_4,menos_2500,no,mujer,35-44,ninguna,menos_1sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,mucho
249,region_4,menos_2500,no,mujer,35-44,primaria,2-3sm,no_ocupado,no,demanda,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
250,region_4,menos_2500,no,mujer,18-24,secundaria,1-2sm,no_ocupado,no,demanda,eficiente,lento,barato,seguro,comodo,mucho,algo
251,region_4,menos_2500,no,hombre,35-44,secundaria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,mucho,algo
252,region_4,100mil_mas,no,hombre,35-44,secundaria,2-3sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,poco
253,region_4,100mil_mas,no,hombre,55-64,preparatoria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,mucho
254,region_4,100mil_mas,no,hombre,18-24,secundaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
255,region_4,100mil_mas,no,hombre,25-34,preparatoria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
256,region_4,100mil_mas,no,mujer,35-44,secundaria,1-2sm,ocupado,no,colectivo,eficiente,lento,barato,inseguro,incomodo,mucho,mucho
257,region_4,100mil_mas,no,hombre,35-44,ninguna,2-3sm,ocupado,no,colectivo,eficiente,lento,barato,inseguro,incomodo,algo,poco
258,region_4,100mil_mas,no,mujer,45-54,secundaria,5-6sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,mucho,algo
259,region_4,100mil_mas,no,hombre,18-24,secundaria,4-5sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,poco
260,region_4,100mil_mas,no,hombre,55-64,preparatoria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,poco
261,region_4,100mil_mas,no,mujer,25-34,secundaria,1-2sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,poco
262,region_4,100mil_mas,no,hombre,55-64,ninguna,1-2sm,ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,poco,poco
263,region_4,100mil_mas,no,mujer,25-34,ninguna,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,mucho,poco
264,region_4,100mil_mas,no,mujer,18-24,primaria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,algo
265,region_4,100mil_mas,no,hombre,35-44,preparatoria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,incomodo,algo,algo
266,region_4,100mil_mas,no,mujer,45-54,secundaria,4-5sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,poco,poco
267,region_4,100mil_mas,no,mujer,35-44,secundaria,mas_6sm,no_ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,algo
268,region_4,100mil_mas,no,mujer,35-44,secundaria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,nada
269,region_4,100mil_mas,no,mujer,25-34,secundaria,1-2sm,ocupado,no,colectivo,eficiente,lento,barato,inseguro,comodo,poco,algo
270,region_4,100mil_mas,no,hombre,18-24,secundaria,2-3sm,ocupado,no,colectivo,eficiente,lento,caro,inseguro,incomodo,algo,mucho
271,region_4,100mil_mas,no,hombre,18-24,secundaria,no_declaro,ocupado,no,colectivo,eficiente,lento,barato,inseguro,incomodo,mucho,algo
272,region_4,100mil_mas,no,mujer,18-24,preparatoria,mas_6sm,no_ocupado,no,colectivo,eficiente,lento,barato,inseguro,incomodo,algo,algo
273,region_4,100mil_mas,no,hombre,65+,secundaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,poco
274,region_4,100mil_mas,no,mujer,65+,primaria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,poco
275,region_4,100mil_mas,no,mujer,25-34,secundaria,1-2sm,no_ocupado,no,colectivo,eficiente,lento,barato,inseguro,comodo,no_contamina,algo
276,region_4,100mil_mas,no,mujer,25-34,primaria,2-3sm,no_ocupado,no,colectivo,eficiente,lento,barato,seguro,comodo,poco,poco
277,region_4,100mil_mas,no,hombre,65+,preparatoria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,nada
278,region_4,100mil_mas,no,mujer,55-64,primaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,comodo,mucho,algo
279,region_4,100mil_mas,no,hombre,65+,primaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,algo
280,region_4,100mil_mas,no,mujer,35-44,primaria,mas_6sm,ocupado,no,otros,eficiente,rapido,barato,inseguro,incomodo,poco,poco
281,region_4,100mil_mas,no,hombre,55-64,ninguna,4-5sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,incomodo,mucho,algo
282,region_4,100mil_mas,no,mujer,45-54,ninguna,3-4sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
283,region_3,100mil_mas,no,mujer,35-44,universidad,mas_6sm,ocupado,no,camion,eficiente,lento,caro,inseguro,incomodo,algo,algo
284,region_3,100mil_mas,no,mujer,25-34,preparatoria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,algo,poco
285,region_3,100mil_mas,no,mujer,35-44,preparatoria,mas_6sm,no_ocupado,no,camion,eficiente,lento,caro,inseguro,comodo,poco,algo
286,region_3,100mil_mas,no,hombre,25-34,universidad,mas_6sm,ocupado,no,demanda,eficiente,rapido,caro,seguro,comodo,poco,algo
287,region_3,100mil_mas,no,hombre,35-44,secundaria,4-5sm,ocupado,no,particular,eficiente,lento,caro,seguro,comodo,poco,algo
288,region_2,100mil_mas,si,hombre,35-44,preparatoria,mas_6sm,ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,algo,mucho
289,region_2,100mil_mas,si,hombre,55-64,ninguna,5-6sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,poco,algo
290,region_2,100mil_mas,si,mujer,35-44,secundaria,2-3sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
291,region_2,100mil_mas,si,hombre,35-44,preparatoria,2-3sm,ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,poco,mucho
292,region_2,100mil_mas,si,hombre,18-24,secundaria,mas_6sm,no_ocupado,no,masivo,eficiente,rapido,barato,inseguro,incomodo,algo,mucho
293,region_2,100mil_mas,si,mujer,18-24,secundaria,mas_6sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
294,region_2,100mil_mas,si,mujer,18-24,preparatoria,4-5sm,no_ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,algo,algo
295,region_2,100mil_mas,si,mujer,35-44,secundaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,algo
296,region_2,100mil_mas,si,hombre,45-54,preparatoria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,algo,algo
297,region_2,100mil_mas,si,hombre,18-24,secundaria,mas_6sm,no_ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,mucho,mucho
298,region_2,100mil_mas,si,hombre,55-64,preparatoria,no_declaro,ocupado,no,masivo,eficiente,rapido,caro,inseguro,incomodo,algo,algo
299,region_2,100mil_mas,si,mujer,45-54,secundaria,4-5sm,ocupado,no,masivo,eficiente,rapido,caro,inseguro,incomodo,algo,algo
300,region_3,100mil_mas,no,hombre,65+,preparatoria,no_declaro,no_ocupado,no,colectivo,eficiente,lento,barato,inseguro,comodo,mucho,mucho
301,region_3,100mil_mas,no,hombre,35-44,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,poco,algo
302,region_3,100mil_mas,no,mujer,35-44,primaria,5-6sm,no_ocupado,no,camion,eficiente,lento,barato,inseguro,comodo,mucho,algo
303,region_3,100mil_mas,no,hombre,25-34,secundaria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
304,region_1,100mil_mas,no,hombre,25-34,preparatoria,no_declaro,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
305,region_1,100mil_mas,no,mujer,35-44,primaria,2-3sm,no_ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,algo
306,region_1,100mil_mas,no,mujer,25-34,primaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,mucho,algo
307,region_1,100mil_mas,no,mujer,18-24,secundaria,no_declaro,ocupado,no,camion,eficiente,rapido,barato,inseguro,comodo,poco,poco
308,region_1,100mil_mas,no,hombre,45-54,secundaria,no_declaro,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,mucho,mucho
309,region_1,menos_2500,no,hombre,18-24,secundaria,2-3sm,ocupado,no,particular,eficiente,rapido,barato,inseguro,comodo,poco,nada
310,region_1,menos_2500,no,mujer,18-24,secundaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
311,region_4,15mil_99999,no,hombre,25-34,preparatoria,mas_6sm,ocupado,no,colectivo,eficiente,lento,caro,seguro,comodo,algo,poco
312,region_4,15mil_99999,no,hombre,45-54,ninguna,1-2sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,algo
313,region_4,15mil_99999,no,hombre,35-44,secundaria,1-2sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,mucho,mucho
314,region_4,15mil_99999,no,mujer,18-24,preparatoria,mas_6sm,ocupado,no,camion,eficiente,lento,barato,seguro,comodo,mucho,algo
315,region_4,15mil_99999,no,mujer,35-44,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,seguro,incomodo,algo,poco
316,region_4,15mil_99999,no,hombre,45-54,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,mucho,algo
317,region_4,15mil_99999,no,hombre,55-64,primaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
318,region_4,15mil_99999,no,hombre,35-44,secundaria,5-6sm,ocupado,no,particular,eficiente,lento,barato,inseguro,comodo,mucho,mucho
319,region_4,15mil_99999,no,hombre,35-44,secundaria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,comodo,mucho,poco
320,region_4,15mil_99999,no,mujer,25-34,primaria,3-4sm,no_ocupado,no,camion,eficiente,lento,barato,inseguro,comodo,poco,algo
321,region_4,15mil_99999,no,hombre,55-64,primaria,2-3sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,algo
323,region_4,menos_2500,no,hombre,55-64,ninguna,2-3sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,algo,algo
324,region_4,menos_2500,no,hombre,65+,primaria,menos_1sm,ocupado,no,activo,eficiente,lento,caro,seguro,comodo,poco,algo
326,region_1,menos_2500,no,hombre,25-34,secundaria,no_declaro,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,algo
327,region_1,menos_2500,no,mujer,35-44,secundaria,1-2sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,algo
328,region_1,menos_2500,no,hombre,25-34,preparatoria,3-4sm,ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,poco,poco
329,region_1,menos_2500,no,hombre,35-44,secundaria,mas_6sm,ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,mucho,poco
330,region_1,menos_2500,no,hombre,18-24,secundaria,mas_6sm,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,incomodo,mucho,algo
331,region_1,menos_2500,no,hombre,35-44,secundaria,mas_6sm,ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,mucho,algo
332,region_1,15mil_99999,si,hombre,35-44,primaria,mas_6sm,ocupado,no,ninguno,eficiente,lento,caro,seguro,comodo,no_contamina,nada
333,region_1,15mil_99999,si,mujer,35-44,secundaria,1-2sm,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,mucho,algo
334,region_1,100mil_mas,si,hombre,45-54,primaria,no_declaro,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,poco,algo
335,region_1,100mil_mas,si,mujer,25-34,universidad,no_declaro,ocupado,no,ninguno,eficiente,lento,caro,seguro,comodo,mucho,algo
336,region_1,100mil_mas,si,mujer,35-44,primaria,3-4sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,poco,poco
337,region_1,100mil_mas,si,mujer,35-44,secundaria,3-4sm,no_ocupado,no,ninguno,eficiente,rapido,barato,inseguro,incomodo,algo,algo
338,region_1,100mil_mas,si,hombre,25-34,primaria,4-5sm,ocupado,no,masivo,eficiente,rapido,barato,seguro,incomodo,algo,algo
339,region_1,100mil_mas,si,mujer,25-34,ninguna,2-3sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,algo,algo
340,region_1,100mil_mas,si,hombre,35-44,ninguna,3-4sm,ocupado,no,masivo,eficiente,rapido,barato,inseguro,comodo,mucho,mucho
341,region_1,100mil_mas,si,mujer,18-24,preparatoria,1-2sm,no_ocupado,no,ninguno,eficiente,lento,barato,seguro,incomodo,algo,algo
342,region_1,100mil_mas,si,hombre,35-44,primaria,2-3sm,ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,algo,algo
343,region_2,100mil_mas,si,hombre,18-24,secundaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,algo,algo
344,region_2,100mil_mas,si,hombre,25-34,secundaria,1-2sm,ocupado,no,masivo,eficiente,lento,barato,inseguro,incomodo,no_contamina,mucho
345,region_2,100mil_mas,si,hombre,35-44,secundaria,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,inseguro,comodo,algo,algo
346,region_2,100mil_mas,si,mujer,18-24,preparatoria,mas_6sm,no_ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,algo,mucho
347,region_2,100mil_mas,si,hombre,25-34,preparatoria,3-4sm,ocupado,no,masivo,eficiente,lento,caro,inseguro,incomodo,no_contamina,mucho
348,region_2,100mil_mas,si,hombre,35-44,secundaria,no_declaro,ocupado,no,masivo,eficiente,lento,caro,inseguro,incomodo,algo,mucho
349,region_2,100mil_mas,si,mujer,25-34,secundaria,3-4sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,mucho
350,region_2,100mil_mas,si,hombre,45-54,secundaria,mas_6sm,ocupado,no,particular,eficiente,lento,caro,inseguro,incomodo,mucho,poco
351,region_2,100mil_mas,si,hombre,35-44,preparatoria,4-5sm,ocupado,no,masivo,eficiente,lento,caro,inseguro,comodo,poco,poco
352,region_2,2500_14999,si,hombre,25-34,secundaria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,nada
353,region_2,2500_14999,si,mujer,18-24,secundaria,3-4sm,no_ocupado,no,demanda,eficiente,rapido,caro,seguro,comodo,no_contamina,nada
354,region_2,2500_14999,si,hombre,35-44,secundaria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,poco
355,region_2,2500_14999,si,mujer,25-34,secundaria,no_declaro,no_ocupado,no,demanda,eficiente,rapido,caro,inseguro,comodo,no_contamina,nada
356,region_2,2500_14999,si,hombre,35-44,preparatoria,3-4sm,ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,algo,poco
357,region_2,2500_14999,si,hombre,18-24,secundaria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,algo,algo
358,region_2,2500_14999,si,hombre,18-24,preparatoria,no_declaro,no_ocupado,no,otros,eficiente,rapido,caro,seguro,comodo,algo,mucho
359,region_2,2500_14999,si,hombre,35-44,preparatoria,2-3sm,ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,algo,algo
360,region_2,2500_14999,si,hombre,25-34,secundaria,2-3sm,ocupado,no,camion,eficiente,lento,caro,inseguro,comodo,mucho,mucho
361,region_2,2500_14999,si,hombre,35-44,secundaria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
362,region_2,2500_14999,si,hombre,25-34,preparatoria,3-4sm,ocupado,no,masivo,eficiente,rapido,barato,seguro,incomodo,no_contamina,algo
363,region_2,2500_14999,si,mujer,25-34,preparatoria,mas_6sm,ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,poco,algo
364,region_2,2500_14999,si,mujer,35-44,preparatoria,5-6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,mucho,algo
365,region_2,2500_14999,si,hombre,25-34,preparatoria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,nada
366,region_2,2500_14999,si,hombre,25-34,universidad,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,inseguro,incomodo,no_contamina,mucho
367,region_2,2500_14999,si,hombre,25-34,preparatoria,4-5sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,poco
368,region_2,100mil_mas,si,hombre,65+,ninguna,4-5sm,no_ocupado,no,ninguno,eficiente,lento,caro,inseguro,incomodo,mucho,algo
369,region_2,100mil_mas,si,hombre,45-54,secundaria,3-4sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,incomodo,algo,poco
370,region_2,menos_2500,si,hombre,55-64,primaria,2-3sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
371,region_2,menos_2500,si,mujer,45-54,primaria,no_declaro,no_ocupado,no,otros,eficiente,lento,barato,seguro,comodo,algo,algo
372,region_2,menos_2500,si,mujer,45-54,ninguna,5-6sm,ocupado,no,otros,eficiente,lento,caro,seguro,comodo,algo,poco
373,region_2,menos_2500,si,mujer,45-54,ninguna,3-4sm,no_ocupado,no,masivo,eficiente,lento,caro,inseguro,incomodo,algo,poco
374,region_2,15mil_99999,si,hombre,45-54,primaria,5-6sm,ocupado,no,colectivo,eficiente,lento,caro,inseguro,incomodo,algo,mucho
375,region_2,100mil_mas,si,hombre,35-44,universidad,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,poco,mucho
376,region_2,100mil_mas,si,hombre,18-24,secundaria,mas_6sm,no_ocupado,no,masivo,eficiente,rapido,barato,seguro,comodo,poco,mucho
377,region_2,100mil_mas,si,mujer,18-24,secundaria,mas_6sm,no_ocupado,no,masivo,eficiente,rapido,barato,seguro,comodo,no_contamina,mucho
378,region_2,100mil_mas,si,hombre,18-24,primaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,mucho,mucho
379,region_2,100mil_mas,si,hombre,35-44,preparatoria,1-2sm,ocupado,no,masivo,eficiente,lento,barato,seguro,comodo,mucho,mucho
380,region_2,100mil_mas,si,hombre,35-44,preparatoria,3-4sm,ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,algo,algo
381,region_2,100mil_mas,si,mujer,35-44,universidad,no_declaro,ocupado,no,camion,eficiente,lento,caro,inseguro,comodo,algo,algo
382,region_2,100mil_mas,si,hombre,25-34,secundaria,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
383,region_2,100mil_mas,si,hombre,25-34,preparatoria,no_declaro,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,algo
384,region_2,100mil_mas,si,hombre,18-24,primaria,mas_6sm,no_ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,algo,algo
385,region_2,100mil_mas,si,hombre,18-24,preparatoria,no_declaro,no_ocupado,no,demanda,eficiente,lento,barato,inseguro,incomodo,poco,mucho
386,region_2,100mil_mas,si,mujer,35-44,preparatoria,1-2sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,mucho
387,region_2,15mil_99999,si,mujer,25-34,secundaria,3-4sm,ocupado,no,activo,eficiente,rapido,barato,seguro,incomodo,mucho,algo
388,region_2,15mil_99999,si,mujer,18-24,primaria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,poco,mucho
389,region_2,15mil_99999,si,mujer,18-24,secundaria,no_declaro,no_ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,algo,poco
390,region_2,15mil_99999,si,hombre,18-24,secundaria,3-4sm,ocupado,no,camion,eficiente,lento,caro,seguro,comodo,algo,algo
391,region_2,15mil_99999,si,hombre,35-44,primaria,3-4sm,ocupado,no,camion,eficiente,rapido,caro,seguro,incomodo,algo,algo
392,region_2,15mil_99999,si,mujer,18-24,secundaria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,comodo,algo,algo
393,region_1,15mil_99999,no,hombre,18-24,preparatoria,no_declaro,ocupado,no,otros,eficiente,rapido,barato,seguro,incomodo,poco,poco
394,region_1,2500_14999,no,hombre,65+,ninguna,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
395,region_1,2500_14999,no,mujer,35-44,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
396,region_1,2500_14999,no,mujer,35-44,secundaria,no_declaro,no_ocupado,no,ninguno,eficiente,lento,barato,seguro,comodo,poco,algo
397,region_1,2500_14999,no,mujer,55-64,primaria,3-4sm,no_ocupado,no,ninguno,eficiente,lento,barato,inseguro,comodo,poco,algo
398,region_1,15mil_99999,no,hombre,35-44,primaria,3-4sm,ocupado,no,ninguno,eficiente,rapido,caro,seguro,incomodo,mucho,poco
400,region_1,15mil_99999,no,hombre,25-34,secundaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,poco
